"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","thisistruetest()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.BrokenTest","com.ust.sdet.selenium.data.BrokenTest","thisistruetest"
"","159","resetMakesTestsOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"","57","databaseUnavailableExamplebroken()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.selenium.data.BrokenTest","com.ust.sdet.selenium.data.BrokenTest","databaseUnavailableExamplebroken"
"Environment metadata answers which browser, base URL and build produced the report.","2","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"The leadership view is the Overview page once categories, history, severity and environment exist.","0","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","executiveViewNeedsFourSignals"
"","83","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
"","56","brokenTestExample2()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.selenium.data.BrokenTest","com.ust.sdet.selenium.data.BrokenTest","brokenTestExample2"
"Categories split flaky, test and product failures so each bucket has an owner.","1","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"The leadership view is the Overview page once categories, history, severity and environment exist.","2","forfailingtest()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.selenium.data.ReportingInsightsTest","com.ust.sdet.selenium.data.ReportingInsightsTest","forfailingtest"
"","87","thsisfailtest()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.selenium.data.BrokenTest","com.ust.sdet.selenium.data.BrokenTest","thsisfailtest"
"","43","brokenTestExample()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.selenium.data.BrokenTest","com.ust.sdet.selenium.data.BrokenTest","brokenTestExample"
"","81","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"","99","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.selenium.data.OrdersDataIT","com.ust.sdet.selenium.data.OrdersDataIT","countsOnlyThisTestsOrders"
